rep,id,k1,k2,A0,peak
17,6,0.304461,0.00592559,0.115803,73.9787
18,6,0.339545,0.00596677,0.136077,73.9393
19,6,0.346008,0.00479903,0.0912418,73.9393
20,6,0.335164,0.00685213,0.108215,66.6833
21,6,0.335059,0.00625831,0.0966631,70.3923
22,6,0.335059,0.00625831,0.0761311,70.3923
23,6,0.364155,0.00564386,0.0822223,65.1925
24,6,0.344429,0.00474221,0.149002,66.2195
25,6,0.403792,0.00492618,0.181883,67.4789
26,6,0.36055,0.00501812,0.0801433,66.9912
27,6,0.339584,0.00442039,0.0921875,67.8218
28,6,0.341066,0.00644988,0.0536422,68.584
29,6,0.327014,0.00617421,0.0744129,72.6705
30,6,0.404163,0.00450435,0.107338,71.5621
31,6,0.302348,0.00453275,0.0982958,71.0041
32,6,0.346758,0.0049508,0.131121,72.4881
33,6,0.322314,0.00597867,0.0648725,70.8902
34,6,0.349638,0.00564682,0.0772372,70.8902
35,6,0.345982,0.00631689,0.0747429,69.1177
36,6,0.375726,0.00550031,0.0811434,68.6119
37,6,0.349224,0.00524273,0.0743878,69.14
38,6,0.318452,0.00572688,0.0902521,69.1492
39,6,0.287759,0.00554628,0.140886,69.8553
40,6,0.332182,0.00514078,0.0919506,70.9758
41,6,0.390271,0.00540371,0.0636035,70.4503
42,6,0.34086,0.00687711,0.103321,68.8833
43,6,0.348275,0.00674763,0.0823049,72.0985
44,6,0.420745,0.00541646,0.0575433,65.9856
45,6,0.481494,0.00440889,0.203624,68.925
46,6,0.413117,0.00674914,0.082202,68.0906
47,6,0.370617,0.00651957,0.0659863,68.0906
48,6,0.325239,0.0050097,0.114408,66.9565
49,6,0.341511,0.00514627,0.07846,71.9557
50,6,0.33323,0.0054329,0.0956157,67.3692
51,6,0.33323,0.00478677,0.0765026,67.3798
52,6,0.33323,0.00383267,0.0765026,69.0881
53,6,0.33323,0.00329133,0.0636357,70.8149
54,6,0.350496,0.00329133,0.10274,70.8149
55,6,0.351653,0.00521601,0.0915112,71.4977
